filename,fold,target,category,esc10,src_file,take
1-17150-A-12.wav,1,12,crackling_fire,True,17150,A
1-17565-A-12.wav,1,12,crackling_fire,True,17565,A
1-17742-A-12.wav,1,12,crackling_fire,True,17742,A
1-17808-A-12.wav,1,12,crackling_fire,True,17808,A
1-17808-B-12.wav,1,12,crackling_fire,True,17808,B
1-20133-A-39.wav,1,39,glass_breaking,False,20133,A
1-4211-A-12.wav,1,12,crackling_fire,True,4211,A
1-46272-A-12.wav,1,12,crackling_fire,True,46272,A
1-7057-A-12.wav,1,12,crackling_fire,True,7057,A
1-84536-A-39.wav,1,39,glass_breaking,False,84536,A
1-84704-A-39.wav,1,39,glass_breaking,False,84704,A
1-84705-A-39.wav,1,39,glass_breaking,False,84705,A
1-85168-A-39.wav,1,39,glass_breaking,False,85168,A
1-85184-A-39.wav,1,39,glass_breaking,False,85184,A
1-88807-A-39.wav,1,39,glass_breaking,False,88807,A
1-977-A-39.wav,1,39,glass_breaking,False,977,A
2-106881-A-39.wav,2,39,glass_breaking,False,106881,A
2-112213-A-39.wav,2,39,glass_breaking,False,112213,A
2-112213-B-39.wav,2,39,glass_breaking,False,112213,B
2-141563-A-39.wav,2,39,glass_breaking,False,141563,A
2-173559-A-39.wav,2,39,glass_breaking,False,173559,A
2-173607-A-39.wav,2,39,glass_breaking,False,173607,A
2-173618-A-39.wav,2,39,glass_breaking,False,173618,A
2-18766-A-12.wav,2,12,crackling_fire,True,18766,A
2-18766-B-12.wav,2,12,crackling_fire,True,18766,B
2-250710-A-39.wav,2,39,glass_breaking,False,250710,A
2-28314-A-12.wav,2,12,crackling_fire,True,28314,A
2-28314-B-12.wav,2,12,crackling_fire,True,28314,B
2-30322-A-12.wav,2,12,crackling_fire,True,30322,A
2-30322-B-12.wav,2,12,crackling_fire,True,30322,B
2-61311-A-12.wav,2,12,crackling_fire,True,61311,A
2-65747-A-12.wav,2,12,crackling_fire,True,65747,A
3-104632-A-12.wav,3,12,crackling_fire,True,104632,A
3-104958-A-12.wav,3,12,crackling_fire,True,104958,A
3-120644-A-12.wav,3,12,crackling_fire,True,120644,A
3-145774-A-12.wav,3,12,crackling_fire,True,145774,A
3-147965-A-12.wav,3,12,crackling_fire,True,147965,A
3-157187-A-12.wav,3,12,crackling_fire,True,157187,A
3-158476-A-12.wav,3,12,crackling_fire,True,158476,A
3-203371-A-39.wav,3,39,glass_breaking,False,203371,A
3-203373-A-39.wav,3,39,glass_breaking,False,203373,A
3-203374-A-39.wav,3,39,glass_breaking,False,203374,A
3-203375-A-39.wav,3,39,glass_breaking,False,203375,A
3-203377-A-39.wav,3,39,glass_breaking,False,203377,A
3-216280-A-39.wav,3,39,glass_breaking,False,216280,A
3-216281-A-39.wav,3,39,glass_breaking,False,216281,A
3-216284-A-39.wav,3,39,glass_breaking,False,216284,A
3-65748-A-12.wav,3,12,crackling_fire,True,65748,A
4-164661-A-12.wav,4,12,crackling_fire,True,164661,A
4-164661-B-12.wav,4,12,crackling_fire,True,164661,B
4-170247-A-12.wav,4,12,crackling_fire,True,170247,A
4-170247-B-12.wav,4,12,crackling_fire,True,170247,B
4-171207-A-12.wav,4,12,crackling_fire,True,171207,A
4-181563-A-12.wav,4,12,crackling_fire,True,181563,A
4-182368-A-12.wav,4,12,crackling_fire,True,182368,A
4-182369-A-12.wav,4,12,crackling_fire,True,182369,A
4-204115-A-39.wav,4,39,glass_breaking,False,204115,A
4-204119-A-39.wav,4,39,glass_breaking,False,204119,A
4-204121-A-39.wav,4,39,glass_breaking,False,204121,A
4-204123-A-39.wav,4,39,glass_breaking,False,204123,A
4-204777-A-39.wav,4,39,glass_breaking,False,204777,A
4-204777-B-39.wav,4,39,glass_breaking,False,204777,B
4-204777-C-39.wav,4,39,glass_breaking,False,204777,C
4-212698-A-39.wav,4,39,glass_breaking,False,212698,A
5-186924-A-12.wav,5,12,crackling_fire,True,186924,A
5-189212-A-12.wav,5,12,crackling_fire,True,189212,A
5-189237-A-12.wav,5,12,crackling_fire,True,189237,A
5-193473-A-12.wav,5,12,crackling_fire,True,193473,A
5-193473-B-12.wav,5,12,crackling_fire,True,193473,B
5-213802-A-12.wav,5,12,crackling_fire,True,213802,A
5-215658-A-12.wav,5,12,crackling_fire,True,215658,A
5-215658-B-12.wav,5,12,crackling_fire,True,215658,B
5-221528-A-39.wav,5,39,glass_breaking,False,221528,A
5-221529-A-39.wav,5,39,glass_breaking,False,221529,A
5-233605-A-39.wav,5,39,glass_breaking,False,233605,A
5-233607-A-39.wav,5,39,glass_breaking,False,233607,A
5-257642-A-39.wav,5,39,glass_breaking,False,257642,A
5-260432-A-39.wav,5,39,glass_breaking,False,260432,A
5-260433-A-39.wav,5,39,glass_breaking,False,260433,A
5-260434-A-39.wav,5,39,glass_breaking,False,260434,A
